2/11/2025, 9:56:59 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:63697","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 2:33:42 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:52349","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:33:42 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52353","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:33:42 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52355","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:33:47 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52351","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:33:52 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:52357","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:34:11 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52362","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 2:34:16 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52367","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:34:28 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52369","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:13 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52427","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 2:40:18 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:52429","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:18 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52435","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:18 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52437","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:23 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52431","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:28 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:52439","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:40:48 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52448","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 2:40:53 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52450","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:41:03 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52452","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:43:31 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52461","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 2:43:36 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:52463","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:43:36 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52468","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:43:36 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52470","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:43:41 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52465","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:43:46 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:52472","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:44:06 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52480","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 2:44:11 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52484","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:44:22 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52486","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:45:52 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52503","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 2:45:57 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:52505","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:45:57 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52510","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:45:57 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:52512","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:46:02 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52507","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:46:07 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:52514","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:46:27 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52530","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 2:46:32 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52533","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:46:42 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:52536","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:59:14 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52722","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 3:24:42 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"user-agent":"PostmanRuntime/7.28.4","accept":"*/*","postman-token":"8a474af7-d4e1-40f9-b970-32647a945082","host":"localhost:4000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"},"params":{},"query":{},"body":{}}
2/13/2025, 3:54:19 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:53972","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 4:01:17 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:54010","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 4:01:22 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:54012","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:01:33 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:54017","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 4:01:56 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:54026","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 4:02:01 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:54029","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:02:01 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:54034","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:02:01 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:54036","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:02:06 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:54032","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:02:11 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:54038","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:02:37 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:54047","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:03:47 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:54054","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 4:03:52 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:54056","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:03:52 PM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:54062","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:03:52 PM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:54064","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:03:57 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:54058","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:04:02 PM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:54066","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:04:27 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:54076","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/13/2025, 4:04:30 PM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:54080","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:10:50 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"user-agent":"PostmanRuntime/7.28.4","accept":"*/*","postman-token":"3eee0138-e013-4ac2-82ad-d6e9c073bd51","host":"localhost:4000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"},"params":{},"query":{},"body":{}}
2/13/2025, 4:10:53 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"user-agent":"PostmanRuntime/7.28.4","accept":"*/*","postman-token":"2c515854-defe-4d1f-951c-361c3ef95077","host":"localhost:4000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:03 PM | INFO | HTTP POST / 201 | DATA: {"headers":{"content-type":"application/json","user-agent":"PostmanRuntime/7.28.4","accept":"*/*","postman-token":"145b31fe-e812-4d13-a4ec-5d80a66c112e","host":"localhost:4000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"47"},"params":{},"query":{},"body":{"name":"product_4","weight":100}}
2/13/2025, 4:11:07 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"user-agent":"PostmanRuntime/7.28.4","accept":"*/*","postman-token":"63fd05af-c483-437d-9ccc-87eb79acb89c","host":"localhost:4000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:37 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","sec-ch-ua-platform":"\"Windows\"","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","sec-fetch-site":"none","sec-fetch-mode":"navigate","sec-fetch-user":"?1","sec-fetch-dest":"document","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:37 PM | INFO | HTTP GET /swagger-ui-standalone-preset.js 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua-platform":"\"Windows\"","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","accept":"*/*","sec-fetch-site":"same-origin","sec-fetch-mode":"no-cors","sec-fetch-dest":"script","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:37 PM | INFO | HTTP GET /swagger-ui-init.js 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua-platform":"\"Windows\"","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","accept":"*/*","sec-fetch-site":"same-origin","sec-fetch-mode":"no-cors","sec-fetch-dest":"script","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:37 PM | INFO | HTTP GET /swagger-ui-bundle.js 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua-platform":"\"Windows\"","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","accept":"*/*","sec-fetch-site":"same-origin","sec-fetch-mode":"no-cors","sec-fetch-dest":"script","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:38 PM | INFO | HTTP GET /swagger-ui.css 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua-platform":"\"Windows\"","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","accept":"text/css,*/*;q=0.1","sec-fetch-site":"same-origin","sec-fetch-mode":"no-cors","sec-fetch-dest":"style","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:11:38 PM | INFO | HTTP GET /favicon-32x32.png 200 | DATA: {"headers":{"host":"localhost:4000","connection":"keep-alive","sec-ch-ua-platform":"\"Windows\"","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","sec-ch-ua":"\"Not A(Brand\";v=\"8\", \"Chromium\";v=\"132\", \"Google Chrome\";v=\"132\"","sec-ch-ua-mobile":"?0","accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","sec-fetch-site":"same-origin","sec-fetch-mode":"no-cors","sec-fetch-dest":"image","accept-encoding":"gzip, deflate, br, zstd","accept-language":"en-GB,en-US;q=0.9,en;q=0.8,ar;q=0.7,nl;q=0.6,de;q=0.5","cookie":"ajs_anonymous_id=%2216950009-2a72-4ed4-8150-81c0e45c2d46%22"},"params":{},"query":{},"body":{}}
2/13/2025, 4:12:28 PM | INFO | HTTP POST / 201 | DATA: {"headers":{"host":"127.0.0.1:54244","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/13/2025, 4:12:28 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:54256","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:12:28 PM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:54258","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 4:12:28 PM | INFO | HTTP POST /load 200 | DATA: {"headers":{"host":"127.0.0.1:54260","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"77","connection":"close"},"params":{},"query":{},"body":{"MoverId":"67ae0bdc249478661ef015f0","itemIds":["6797ce58362cfa6baa00e34c"]}}
2/13/2025, 4:12:28 PM | INFO | HTTP POST /start-mission 200 | DATA: {"headers":{"host":"127.0.0.1:54262","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"38","connection":"close"},"params":{},"query":{},"body":{"MoverId":"67ae0bdc249478661ef015f0"}}
2/13/2025, 4:12:28 PM | INFO | HTTP POST /end-mission 200 | DATA: {"headers":{"host":"127.0.0.1:54264","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"38","connection":"close"},"params":{},"query":{},"body":{"MoverId":"67ae0bdc249478661ef015f0"}}
